,x,y,label
BJ8078,10.607312,12.498213,up_right
BJ8079,10.143644,13.8260355,up_right
BJ8080,4.0449686,10.106416,down_left
BJ8081,6.9919434,14.667523,down_right
BJ8082,1.3582815,10.250984,up_left
BJ8083,2.9611108,10.886833,down_left
BJ8085,9.573026,14.996457,up_right
BJ8086,1.0642802,9.4290905,up_left
BJ8087,1.7229624,10.392377,up_left
BJ8088,6.695434,14.520172,down_right
BJ8089,10.251385,13.379996,up_right
BJ8090,8.6846485,15.663183,up_right
BJ8091,1.1447043,8.621512,up_left
BJ8092,3.9271016,10.034478,down_left
BJ8093,6.2921,13.815043,down_right
BJ8094,1.0153635,8.537291,up_left
BJ8095,7.202634,15.154737,down_right
BJ8096,8.879237,15.730565,up_right
BJ8097,9.838179,13.31716,up_right
BJ8098,10.100832,13.735084,up_right
BJ8099,0.84610707,9.966733,up_left
BJ8100,0.8341336,8.554668,up_left
BJ8102,3.881573,11.476972,down_left
BJ8103,9.970475,13.80354,up_right
BJ8104,3.6436188,12.399311,down_left
BJ8105,9.257092,15.482518,up_right
BJ8106,9.39258,14.088743,up_right
BJ8107,1.3560103,11.737203,up_left
BJ8108,7.062325,15.195701,down_right
BJ8109,3.6997566,11.8002405,down_left
BJ8110,7.398513,15.050005,down_right
BJ8111,3.7988334,10.312308,down_left
BJ8112,6.854341,11.910126,down_right
BJ8114,1.5548054,8.658341,up_left
BJ8115,6.8738885,15.06094,down_right
BJ8116,8.390334,15.24988,up_right
BJ8117,1.1564509,11.138021,up_left
BJ8118,1.1308216,10.783647,up_left
BJ8119,6.6569996,14.208998,down_right
BJ8120,6.7166905,14.301296,down_right
BJ8121,6.7207675,15.077229,down_right
BJ8122,3.3799317,11.208801,down_left
BJ8124,10.515384,12.434163,up_right
BJ8125,7.1215878,12.237949,down_right
BJ8126,6.6822696,13.534146,down_right
BJ8128,7.259617,15.117535,down_right
BJ8129,6.1618733,13.384558,down_right
BJ8131,9.014615,15.3459425,up_right
BJ8132,7.116733,14.851417,down_right
BJ8137,10.095885,12.048814,up_right
BJ8138,3.609522,11.266639,down_left
BJ8139,6.558078,13.943193,down_right
BJ8140,9.557074,14.93757,up_right
BJ8141,1.4597051,11.808861,up_left
BJ8142,6.691035,14.155593,down_right
BJ8147,8.961499,15.670035,up_right
BJ8149,6.8984933,15.210773,down_right
BJ8150,3.3394585,12.479816,down_left
BJ8152,8.739575,15.920252,up_right
BJ8154,3.381974,11.4869375,down_left
BJ8155,7.020927,15.477036,down_right
BJ8156,3.3528788,11.800216,down_left
BJ8158,10.496194,13.840951,up_right
BJ8159,8.688616,14.320239,down_right
BJ8160,9.25778,15.520261,up_right
BJ8161,3.4467602,10.4243965,down_left
BJ8163,3.884427,11.81056,down_left
BJ8164,0.9769966,10.746014,up_left
BJ8165,0.9588742,10.722699,up_left
BJ8166,9.1862755,15.505863,up_right
BJ8168,1.6059796,11.624027,up_left
BJ8169,6.6539836,13.082391,down_right
BJ8171,3.179814,12.078954,down_left
BJ8172,2.1586459,9.063333,up_left
BJ8173,6.544826,13.845213,down_right
BJ8174,3.026526,11.964652,down_left
BJ8175,1.3629844,8.499528,up_left
BJ8176,1.045817,10.764432,up_left
BJ8178,3.788664,10.947913,down_left
BJ8179,3.554469,11.13278,down_left
BJ8180,9.288389,15.162766,up_right
BJ8181,9.532821,14.500446,up_right
BJ8182,8.719306,15.8348465,up_right
BJ8184,6.4408007,14.023226,down_right
BJ8185,6.568388,13.539306,down_right
BJ8187,6.936602,15.312836,down_right
BJ8188,1.3080812,11.629226,up_left
BJ8189,1.4444479,10.359569,up_left
BJ8190,3.85169,10.542555,down_left
BJ8191,9.612846,14.575758,up_right
BJ8192,9.882168,14.282534,up_right
BJ8193,6.709024,14.736847,down_right
BJ8195,9.405565,14.080604,up_right
BJ8196,6.4580092,14.015472,down_right
BJ8197,1.3092012,10.645086,up_left
BJ8198,3.7087674,11.851554,down_left
BJ8199,3.1739042,11.779422,down_left
BJ8200,9.190393,15.493167,up_right
BJ8201,6.8117895,14.93704,down_right
BJ8202,0.8481046,10.251241,up_left
BJ8203,0.8469012,7.6114693,up_left
BJ8204,3.3374949,11.433972,down_left
BJ8206,9.292579,15.442561,up_right
BJ8208,7.135832,14.876594,down_right
BJ8210,10.13461,14.286542,up_right
BJ8211,1.284772,10.627034,up_left
BJ8213,6.8910193,15.177222,down_right
BJ8214,10.235998,14.3518305,up_right
BJ8215,1.0224217,10.342143,up_left
BJ8216,1.328787,11.291748,up_left
BJ8217,3.1853402,12.026809,down_left
BJ8218,8.707861,15.901468,up_right
BJ8220,3.6188064,11.422505,down_left
BJ8221,3.2351813,12.086444,down_left
BJ8222,9.367942,15.303792,up_right
BJ8223,2.8473113,12.021933,down_left
BJ8224,7.089984,13.832746,down_right
BJ8225,3.9373832,8.600261,down_left
BJ8226,1.0607178,11.0315485,up_left
BJ8227,7.0549526,14.687221,down_right
BJ8228,0.89739895,10.766944,up_left
BJ8229,4.037298,12.188614,down_left
BJ8230,9.134143,14.232378,up_right
BJ8231,8.701325,15.86245,up_right
BJ8232,3.0653121,11.940243,down_left
BJ8233,1.3732625,11.71255,up_left
BJ8234,1.4570085,10.559061,up_left
BJ8235,3.0900261,12.1020975,down_left
